Огноо,Гүйлгээний утга,Дебит дүн (MNT),Кредит дүн (MNT),Үлдэгдэл (MNT)
2025-12-04,Улаанбаатар зах-Хүнс,100512,,12467385
2025-12-04,Emart Taxi дуудлага,12884,,12454501
2025-12-05,Орон сууцны зээлийн төлбөр - Хаан Банк,599338,,11855163
2025-12-05,Silk Road дэлгүүр,43129,,11812034
2025-12-05,Silk Road дэлгүүр,64930,,11747104
2025-12-05,Modern Nomads ресторан,45202,,11701902
2025-12-08,Дулааны төлбөр - УБДС,75169,,11626733
2025-12-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,49358,,11577375
2025-12-09,Усны төлбөр - УСУГ,16450,,11560925
2025-12-10,Гэрийн интернэт - Unitel,50763,,11510162
2025-12-10,Улаанбаатар зах-Хүнс,41577,,11468585
2025-12-11,Гар утасны төлбөр - Mobicom,32956,,11435629
2025-12-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,27010,,11408619
2025-12-11,Сод Экспресс,118111,,11290508
2025-12-12,Modern Nomads ресторан,83911,,11206597
2025-12-12,Хувцасны дэлгүүр - H&M Shangri La,162251,,11044346
2025-12-15,Богд Такси үйлчилгээ,8316,,11036030
2025-12-15,Даатгалын хураамж - Practical Insurance,41658,,10994372
2025-12-16,MobiCard шатахуун,48329,,10946043
2025-12-18,Emart Taxi дуудлага,20098,,10925945
2025-12-18,KFC Улаанбаатар,53166,,10872779
2025-12-20,Жилийн эцсийн урамшуулал - ХХК,,600000,11472779
2025-12-20,Сод Экспресс,122058,,11350721
2025-12-21,Grand Plaza хүнсний дэлгүүр,62600,,11288121
2025-12-21,MobiCard шатахуун,55589,,11232532
2025-12-22,Grand Plaza хүнсний дэлгүүр,100692,,11131840
2025-12-22,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,47706,,11084134
2025-12-25,Цалингийн шилжүүлэг - ХХК,,2814037,13898171
2025-12-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1496869,15395040
2025-12-27,MobiCard шатахуун,47889,,15347151
2026-01-01,Улаанбаатар зах-Хүнс,53313,,15293838
2026-01-03,Цэцэрлэгийн сарын хураамж,153491,,15140347
2026-01-04,Богд Такси үйлчилгээ,13851,,15126496
2026-01-05,Орон сууцны зээлийн төлбөр - Хаан Банк,595324,,14531172
2026-01-08,Дулааны төлбөр - УБДС,75801,,14455371
2026-01-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,48510,,14406861
2026-01-09,Усны төлбөр - УСУГ,12203,,14394658
2026-01-09,Сод Экспресс,131202,,14263456
2026-01-09,Modern Nomads ресторан,32104,,14231352
2026-01-10,Гэрийн интернэт - Unitel,46469,,14184883
2026-01-10,Grand Plaza хүнсний дэлгүүр,132247,,14052636
2026-01-11,Гар утасны төлбөр - Mobicom,33442,,14019194
2026-01-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,28409,,13990785
2026-01-13,Silk Road дэлгүүр,64517,,13926268
2026-01-14,Fitness club гишүүнчлэл,60055,,13866213
2026-01-15,Даатгалын хураамж - Practical Insurance,39173,,13827040
2026-01-16,Сод Экспресс,54158,,13772882
2026-01-19,Тэнгис кино театр,26228,,13746654
2026-01-20,Хаан ресторан,47654,,13699000
2026-01-21,Sod Mongol шатахуун станц,71193,,13627807
2026-01-22,Sod Mongol шатахуун станц,66702,,13561105
2026-01-23,Nomin Supermarket,78140,,13482965
2026-01-24,Копи Ко кафе,53599,,13429366
2026-01-25,Цалингийн шилжүүлэг - ХХК,,2812059,16241425
2026-01-25,MobiCard шатахуун,68012,,16173413
2026-01-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1626651,17800064
2026-01-27,Emart Хан-Уул,73830,,17726234
2026-01-27,Хадгаламж руу шилжүүлэг,241151,,17485083
2026-01-28,Nomin Supermarket,140537,,17344546
2026-01-28,Сод Экспресс,57219,,17287327
2026-02-02,Хувцасны дэлгүүр - H&M Shangri La,92092,,17195235
2026-02-03,Цэцэрлэгийн сарын хураамж,150286,,17044949
2026-02-05,Орон сууцны зээлийн төлбөр - Хаан Банк,596456,,16448493
2026-02-06,CU 24/7 дэлгүүр,102593,,16345900
2026-02-07,Emart Хан-Уул,115153,,16230747
2026-02-08,Дулааны төлбөр - УБДС,81934,,16148813
2026-02-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,49132,,16099681
2026-02-09,Усны төлбөр - УСУГ,12573,,16087108
2026-02-10,Гэрийн интернэт - Unitel,50441,,16036667
2026-02-10,Улаанбаатар зах-Хүнс,81528,,15955139
2026-02-10,CU 24/7 дэлгүүр,44683,,15910456
2026-02-10,Emart Хан-Уул,99819,,15810637
2026-02-10,MobiCard шатахуун,58774,,15751863
2026-02-11,Гар утасны төлбөр - Mobicom,33409,,15718454
2026-02-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,27104,,15691350
2026-02-11,Emart Хан-Уул,119384,,15571966
2026-02-13,Улаанбаатар зах-Хүнс,126059,,15445907
2026-02-14,Sod Mongol шатахуун станц,84758,,15361149
2026-02-15,Emart Taxi дуудлага,24750,,15336399
2026-02-15,Даатгалын хураамж - Practical Insurance,36193,,15300206
2026-02-16,Emart Taxi дуудлага,10778,,15289428
2026-02-17,Копи Ко кафе,31120,,15258308
2026-02-21,MobiCard шатахуун,75473,,15182835
2026-02-21,Fitness club гишүүнчлэл,78863,,15103972
2026-02-24,Silk Road дэлгүүр,94469,,15009503
2026-02-25,Цалингийн шилжүүлэг - ХХК,,2944497,17954000
2026-02-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1593210,19547210
2026-02-26,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,41100,,19506110
2026-02-27,KFC Улаанбаатар,69092,,19437018
2026-02-27,Хадгаламж руу шилжүүлэг,282545,,19154473
2026-03-02,CU 24/7 дэлгүүр,60662,,19093811
2026-03-03,Цэцэрлэгийн сарын хураамж,145763,,18948048
2026-03-05,Орон сууцны зээлийн төлбөр - Хаан Банк,594835,,18353213
2026-03-05,Grand Plaza хүнсний дэлгүүр,88901,,18264312
2026-03-05,Emart Taxi дуудлага,20551,,18243761
2026-03-05,KFC Улаанбаатар,29209,,18214552
2026-03-06,Улаанбаатар зах-Хүнс,140917,,18073635
2026-03-08,Дулааны төлбөр - УБДС,91497,,17982138
2026-03-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,35181,,17946957
2026-03-08,MobiCard шатахуун,67010,,17879947
2026-03-09,Усны төлбөр - УСУГ,12873,,17867074
2026-03-09,Sod Mongol шатахуун станц,76758,,17790316
2026-03-10,Гэрийн интернэт - Unitel,51376,,17738940
2026-03-11,Гар утасны төлбөр - Mobicom,34965,,17703975
2026-03-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,23792,,17680183
2026-03-11,Sod Mongol шатахуун станц,50280,,17629903
2026-03-14,Хаан ресторан,46684,,17583219
2026-03-15,CU 24/7 дэлгүүр,134824,,17448395
2026-03-15,Petrovis шатахуун түгээх станц,63725,,17384670
2026-03-15,Даатгалын хураамж - Practical Insurance,35320,,17349350
2026-03-16,Emart Хан-Уул,61972,,17287378
2026-03-18,Хаан ресторан,52248,,17235130
2026-03-20,Silk Road дэлгүүр,126992,,17108138
2026-03-21,Petrovis шатахуун түгээх станц,62996,,17045142
2026-03-22,CU 24/7 дэлгүүр,101259,,16943883
2026-03-24,CU 24/7 дэлгүүр,83933,,16859950
2026-03-25,Цалингийн шилжүүлэг - ХХК,,2854766,19714716
2026-03-25,Сод Экспресс,138082,,19576634
2026-03-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1463959,21040593
2026-03-27,CU 24/7 дэлгүүр,86446,,20954147
2026-03-27,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,70069,,20884078
2026-03-28,Nomin Supermarket,87829,,20796249
2026-04-01,Nomin Supermarket,112246,,20684003
2026-04-01,Тэнгис кино театр,28102,,20655901
2026-04-02,MobiCard шатахуун,69844,,20586057
2026-04-03,Цэцэрлэгийн сарын хураамж,159767,,20426290
2026-04-03,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,117397,,20308893
2026-04-05,Орон сууцны зээлийн төлбөр - Хаан Банк,601526,,19707367
2026-04-05,MobiCard шатахуун,56909,,19650458
2026-04-08,Дулааны төлбөр - УБДС,19892,,19630566
2026-04-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,47779,,19582787
2026-04-09,Усны төлбөр - УСУГ,15432,,19567355
2026-04-10,Гэрийн интернэт - Unitel,49409,,19517946
2026-04-11,Гар утасны төлбөр - Mobicom,36947,,19480999
2026-04-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,28552,,19452447
2026-04-11,Petrovis шатахуун түгээх станц,74799,,19377648
2026-04-11,MobiCard шатахуун,69846,,19307802
2026-04-12,Машины засвар үйлчилгээ,274141,,19033661
2026-04-13,Silk Road дэлгүүр,115670,,18917991
2026-04-14,Emart Хан-Уул,31804,,18886187
2026-04-15,Сод Экспресс,109560,,18776627
2026-04-15,Даатгалын хураамж - Practical Insurance,38266,,18738361
2026-04-16,Сод Экспресс,63774,,18674587
2026-04-18,Nomin Supermarket,79645,,18594942
2026-04-19,CU 24/7 дэлгүүр,114900,,18480042
2026-04-22,Grand Plaza хүнсний дэлгүүр,80994,,18399048
2026-04-24,Сод Экспресс,138166,,18260882
2026-04-24,Modern Nomads ресторан,47935,,18212947
2026-04-25,Цалингийн шилжүүлэг - ХХК,,2751545,20964492
2026-04-25,Богд Такси үйлчилгээ,16266,,20948226
2026-04-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1647134,22595360
2026-04-27,Emart Taxi дуудлага,23411,,22571949
2026-04-27,Хадгаламж руу шилжүүлэг,162533,,22409416
2026-05-01,Silk Road дэлгүүр,103470,,22305946
2026-05-03,Цэцэрлэгийн сарын хураамж,143753,,22162193
2026-05-05,Орон сууцны зээлийн төлбөр - Хаан Банк,597142,,21565051
2026-05-05,Хаан ресторан,36543,,21528508
2026-05-08,Дулааны төлбөр - УБДС,22619,,21505889
2026-05-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,43396,,21462493
2026-05-09,Усны төлбөр - УСУГ,15021,,21447472
2026-05-10,Гэрийн интернэт - Unitel,46374,,21401098
2026-05-10,Nomin Supermarket,103849,,21297249
2026-05-11,Гар утасны төлбөр - Mobicom,37926,,21259323
2026-05-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,26974,,21232349
2026-05-12,Petrovis шатахуун түгээх станц,78158,,21154191
2026-05-14,Богд Такси үйлчилгээ,23064,,21131127
2026-05-15,Даатгалын хураамж - Practical Insurance,36419,,21094708
2026-05-15,Fitness club гишүүнчлэл,67990,,21026718
2026-05-18,MobiCard шатахуун,88353,,20938365
2026-05-19,Улаанбаатар зах-Хүнс,136864,,20801501
2026-05-21,Сод Экспресс,41356,,20760145
2026-05-21,MobiCard шатахуун,45829,,20714316
2026-05-22,Emart Хан-Уул,79990,,20634326
2026-05-23,Сод Экспресс,37961,,20596365
2026-05-23,Grand Plaza хүнсний дэлгүүр,67529,,20528836
2026-05-24,Копи Ко кафе,65364,,20463472
2026-05-25,Цалингийн шилжүүлэг - ХХК,,2897841,23361313
2026-05-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1648448,25009761
2026-05-26,Nomin Supermarket,132363,,24877398
2026-05-26,Petrovis шатахуун түгээх станц,67754,,24809644
2026-05-26,Хаан ресторан,55465,,24754179
2026-05-28,Улаанбаатар зах-Хүнс,106697,,24647482
2026-05-28,MobiCard шатахуун,77125,,24570357
2026-05-28,Тэнгис кино театр,28044,,24542313
2026-06-03,Цэцэрлэгийн сарын хураамж,151626,,24390687
2026-06-03,Silk Road дэлгүүр,57045,,24333642
2026-06-05,Орон сууцны зээлийн төлбөр - Хаан Банк,601023,,23732619
2026-06-08,Дулааны төлбөр - УБДС,15470,,23717149
2026-06-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,51197,,23665952
2026-06-08,Улаанбаатар зах-Хүнс,81271,,23584681
2026-06-08,Улаанбаатар зах-Хүнс,90402,,23494279
2026-06-09,Усны төлбөр - УСУГ,14662,,23479617
2026-06-09,CU 24/7 дэлгүүр,29330,,23450287
2026-06-10,Гэрийн интернэт - Unitel,46489,,23403798
2026-06-10,Богд Такси үйлчилгээ,15554,,23388244
2026-06-11,Гар утасны төлбөр - Mobicom,35988,,23352256
2026-06-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,23737,,23328519
2026-06-11,Silk Road дэлгүүр,143385,,23185134
2026-06-12,MobiCard шатахуун,81070,,23104064
2026-06-12,Богд Такси үйлчилгээ,16877,,23087187
2026-06-15,Grand Plaza хүнсний дэлгүүр,30260,,23056927
2026-06-15,Даатгалын хураамж - Practical Insurance,39530,,23017397
2026-06-16,CU 24/7 дэлгүүр,127374,,22890023
2026-06-16,Sod Mongol шатахуун станц,79794,,22810229
2026-06-17,Сод Экспресс,39221,,22771008
2026-06-18,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,114901,,22656107
2026-06-20,Улаанбаатар зах-Хүнс,143357,,22512750
2026-06-21,Улаанбаатар зах-Хүнс,92332,,22420418
2026-06-22,Sod Mongol шатахуун станц,69184,,22351234
2026-06-23,Petrovis шатахуун түгээх станц,65067,,22286167
2026-06-24,KFC Улаанбаатар,45679,,22240488
2026-06-24,Тэнгис кино театр,35866,,22204622
2026-06-25,Цалингийн шилжүүлэг - ХХК,,2925161,25129783
2026-06-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1499349,26629132
